word_fr;word_en;phrase_fr;phrase_en
écarter;to separate, move apart, keep away; les journalistes ont été écartés de l'intérieur du bâtiment ; the reporters were kept away from the building's interior
vague;"vague; wave"; ces vagues sont tellement puissantes! ; these waves are so powerful! 
réduction;reduction; il parle aussi des réductions d'impôt ; he's also talking about tax reductions 
culturel;cultural; la vie culturelle est appauvrie, terne et stagnante ; cultural life is impoverished, dull, and stagnant
coopération;cooperation; nous ne bénéficions pas toujours d'une coopération sérieuse de leur part ; we don't always enjoy serious cooperation on their behalf
vertu;virtue; la vertu et le vice, tout se confond ; virtue and vice, everything's getting mixed up 
d'autant;since; il lui est d'autant plus facile d'en acquérir d'autres ; it's so much easier for him to buy other ones
leader;leader; il est très difficile d'être un leader autochtone ; it's difficult to be a native leader 
taille;size, height; je l'ai interrogée sur sa taille, sur son âge ; I asked her about her height, her age 
contenu;contents; il faut réviser la réglementation quant au contenu francophone ; we must revise the regulation of French-speaking content
distance;distance; la distance entre les villes est énorme ; the distance between cities is enormous 
automne;fall, autumn; on dirait un après-midi d'automne ; it felt like an autumn afternoon 
arrière;back, rear; mets tes cheveux en arrière ; put your hair back 
vision;vision, view; nous avons sur ce sujet une vision commune ; we have a common view on this subject 
investir;to invest; il veut y investir encore plus d'argent ; he wants to invest even more money in it 
diminuer;to diminish, decrease; les investissements en provenance de l'extérieur diminuent ; investments from abroad are decreasing
réfugier;to take refuge; je m'étais réfugié dans une espèce d'esprit farceur ; I sought refuge in a farcical mindset 
entourer;to surround; il courut à lui et l'entoura de ses bras ; he ran up to him and held him in his arms 
juif;Jew, Jewish; la société se retourne contre les juifs ; society has turned against the Jews 
considérable;considerable, significant; nous avons réalisé des progrès considérables ; we achieved considerable progess 
conduite;behavior, driving; certaines de mes conduites affectaient directement ma mère ; some of my behavior directly affected my mother
convention;agreement, convention; la convention relative aux droits de l'enfant ; the convention on children's rights 
communiquer;to communicate; mes fonctionnaires ont communiqué avec le ministère des finances ; my public servants communicated with the finance minister
prolonger;to prolong, extend; quels sont les indicateurs d'une sécheresse prolongée? ; what are the indications of a prolonged drought?
verser;to pour, deposit, shed; cette conversation sera versée au dossier ; this conversation will be deposited into the record 
évidence;evidence; je souhaite que cette évidence pénètre les esprits ; I hope this evidence will provoke minds 
essentiellement;essentially; votre métier est essentiellement une fonction de médiation ; your trade is essentially a function of mediation
démontrer;to demonstrate; il ne démontre aucun signe de compassion envers ces travailleurs ; he shows no sign of compassion towards these workers
négatif;negative; ils n'ont pas totalement une image négative ; they don't have a completely negative image 
approche;approach; c'est là une approche équilibrée ; that's a balanced approach 
délai;delay; je vous demande donc de prolonger le délai ; I therefore ask you to extend the timeframe 
accroître;to increase; évidemment, cela accroît le climat de tension ; apparently, this increased the tension 
bruit;noise; j'entends ce bruit horrible ; I hear this horrible noise 
humanité;humanity; il ne faut pas renier notre humanité ; we must not deny our humanity 
radio;radio; j'éteins mon émetteur radio ; I turn off my radio 
moi-même;myself; j'aimerais redevenir moi-même ; I would like to become myself again 
syndicat;union; ça n'appartient pas au syndicat ; that's not up to the union 
prudent;prudent, careful, cautious; nous avons été très prudents dans nos demandes ; we were very prudent in our requests 
soirée;evening; je rentre d'une soirée chez des amis ; I'm going home from an evening at my friends' place 
vol;flight, theft; il a pu prendre un autre vol ; he was able to take another flight 
marcher;to walk; elle se lève et elle marche comme ça ; she gets up and walks like this 
tiers;third; elle est musulmane du tiers monde ; she is a third-world Moslem 
mètre;meter;la zone cible fait seulement 2 mètres de large; the target zone is only two meters wide 
aborder;to reach, approach; je voudrais aborder la question sous un autre angle ; I would like to address the issue from another angle
occidental;western; peut-on être moderne sans être occidental? ; can one be modern and not Western? 
suffisant;sufficient; cette motivation n'est toutefois pas suffisante ; still, these motives aren't enough 
ciel;sky; le ciel est resté bleu au-dessus de Paris ; the sky remained blue over Paris 
tromper;to deceive; oups! je me suis trompé ; oops, I made a mistake 
modeste;modest; ce serait un modeste pas dans la bonne voie ; it would be a modest step in the right direction 
éloigner;to move away, take away, distance; il avait besoin de s'éloigner de sa femme ; he needed to distance himself from his wife 
seconde;second; au bout de quelques secondes tout reprend ; after a few seconds everything started over again 
malheureusement;unfortunately; il y a malheureusement des criminels et des terroristes ; unfortunately there are criminals and terrorists
évaluer;to evaluate; nous évaluons des projets en fonction de leur pertinence ; we evaluate projects based on their relevance
extrêmement;extremely; ce processus a été extrêmement lent ; this process was extremely slow 
interne;internal, interior, intern; chez les internes, sa renommée était moins prestigieuse ; among interns his renown was less prestigious
voire;even, indeed; deux, trois cent millions. voire plus ; two, three billion. even more. 
témoignage;testimony; les contrôleurs aériens étudient les témoignages oculaires ; the air traffic controllers are studying eyewitness testimony
messieurs;gentlemen; je vous remercie, messieurs, madame ; thank you, gentlemen, madam 
effectivement;effectively; c'est effectivement quelque chose qui nous préoccupe ; indeed that's something we worry about
gaz;gas; c'est un gaz mortel sans odeur ; it's a deadly, odorless gas 
acteur;actor; tu es le plus grand acteur au monde ; you're the greatest actor in the world 
adapter;to adapt; il dit savoir s'adapter à toutes les difficultés ; he says he can adapt to any difficulty 
cour;yard, court; ils m'attendaient dans la cour de la Sorbonne ; they waited for me in the courtyard of the Sorbonne
dépense;expense, expenditure; nous avons vu les dépenses publiques augmenter ; we saw public expenditures increase 
souci;worry, concern; nos petits soucis ne sont pas importants ; our little concerns are not important 
expert;expert; je ne prétends pas être expert en la matière ; I don't pretend to be an expert on the topic 
sœur;sister; je suis la grande sœur mariée ; I'm the elder married sister 
relativement;relatively; le trafic était dense mais relativement fluide ; the traffic was heavy but relatively free-flowing 
comparer;to compare; il est important de ne pas se comparer aux autres ; it's important to not compare oneself to others
procès;trial, proceedings; un juge recommandait un nouveau procès ; a judge recommended a new trial 
provenir;to be from, come from; la balle provient d'un revolver britannique ; the bullet comes from a British revolver 
réellement;really; elle ne sait pas qui je suis réellement ; she doesn't know who I really am 
conscient;conscious, aware; nous sommes conscients des exigences économiques ; we are aware of the economic demands
céder;to give up, give way; l'euro cède quelques fractions face au dollar ; the euro lost some percentage points to the dollar
médical;medical; sans aide médicale, je vais mourir ; without medical help, I'll die 
diviser;to divide; le reste se divisait en trois fractions sensiblement égales ; the rest was divided in three largely equal amounts
colère;anger; je me sentis soudain très en colère contre mon père ; I suddenly felt myself angry at my father
patient;patient; la clinique a beaucoup de patients, mais je peux vous aider ; the clinic has many patients, but I can help you
notion;notion; par contre, je n'ai aucune notion de médecine ; on the other hand, I have no clue about medicine
siège;seat, bench; puis je vous conduire à votre siège, monsieur? ; may I help you to your seat, sir? 
hausse;rise, raise, increase; il faut s'attendre à une légère hausse des prix ; a slight raise in prices is to be expected 
mécanisme;mechanism; il existe donc un mécanisme pour prévenir la fuite ; thus there is a mechanism to prevent escapes
traditionnel;traditional; il faut maintenir des cultures traditionnelles ; traditional cultures must be maintained 
quart;quarter; le train part dans trois quarts d'heure ; the train leaves in three-quarters of an hour 
approcher;to approach; le gros monsieur s'approche de nous ; the big man is approaching us 
trafic;traffic, circulation; le week-end, en revanche, le trafic doit être normal ; on the other hand, during weekends traffic should be normal
catholique;Catholic; ma sœur était une fervente catholique ; my sister was a devout Catholic 
foyer;home, hearth; ils ont eu chacun un foyer ; each of them had a home 
adulte;adult; je me suis sentie devenir une adulte ; I felt myself becoming an adult 
reprocher;to blame, reproach; nous lui avons reproché d'avoir manqué le sommet ; we blame him for not having reached the summit
métier;job, occupation, trade; c'est déjà plus qu'un métier, c'est une profession ; it's more than a job  
modification;modification; d'autres modifications sont aussi apportées à la convention ; other changes were also made to the agreement
peser;to weigh; il pesait lourd sur mon cœur ; it weighed heavily on my heart 
médias;media; les médias vous ont comparée à Oprah Winfrey ; the media has compared you to Oprah Winfrey
hiver;winter; tu ne peux pas passer l'hiver ici ; you can't spend the winter here 
définition;definition; je voudrais savoir quelle est sa définition d'égalité ; I would like to know his definition of equality
spécialiste;specialist; il y a des spécialistes pour ça ; there are specialists for that 
mari;husband; je suis un collègue de votre mari ; I'm a colleague of your husband 
supprimer;to remove, withdraw; supprime ce paragraphe, cela ne changera rien ;" delete this paragraph; that won't change anything"
guère;hardly; mon travail n'avançait guère ; my job was hardly going anywhere 
douter;to doubt; il n'avait jamais douté de la victoire ; he never doubted victory 
ressentir;to feel; c'est alors qu'il ressentit, dans sa nuque, la douleur ; that's when he felt, on the back of his neck, a sharp pain
sexuel;sexual; il y a des pervers sexuels partout ; there are sexual perverts everywhere 
consulter;to consult; je n'ai pas été consulté ; I was not consulted 
renseignement;information; je cherche des renseignements sur la femme qui a été tuée ; I'm seeking information on the woman who was killed
âgé;old; ces hommes sont tous très âgés maintenant ; these men are all very old now 
fonctionnement;operation, functioning; laissez-moi vous expliquer le fonctionnement de ce système ; let me explain to you how the system works
garçon;boy; c'est un garçon unique ; he's a unique boy 
parfait;perfect; je suis en parfaite santé ; I'm in perfect health 
résumer;to summarize, sum up; les résultats obtenus sont résumés dans le tableau ; the results are summarized in the table 
prévision;forecast, prediction, expectation; l'économie mondiale a surpassé toutes les prévisions ; the global economy surpassed all predictions
quatrième;fourth; c'est mon quatrième séjour en France ; it's my fourth stay in France 
fenêtre;window; j'ai sauté par la fenêtre ; I jumped out the window 
incapable;incapable, incompetent; il est incapable de rentrer dans des détails concrets ; he's incapable of delving into concrete details
hésiter;to hesitate; n'hésitez pas à les appeler ; don't hesitate to call them 
menace;threat; la menace terroriste est bien réelle ; the terrorist threat is very real 
universel;universal; nous voulons un régime de santé universel ; we want a universal health care system 
jeunesse;youth; c'est la jeunesse que j'aime en eux ; it's their youthfulness that I like 
voler;to steal, rob; c'est pas bien de voler ; it's not good to steal 
résister;to resist; j'ai résisté à la mort de ma fille ; I wasn't able to accept the death of my daughter 
profondément;profoundly, deeply; j'en suis profondément heureux ; Iam deeply pleased about it 
séparation;separation; la séparation tend à devenir une invasion ; separation tends to turn into invasion 
inutile;useless; notre travail vous semble inutile ; our work seems useless to you 
refus;refusal; plusieurs raisons peuvent motiver un refus de visa ; a visa may be refused for several reasons 
poisson;fish; nous pouvons bien survivre sans manger du poisson ; we can survive very well without eating fish
révolution;revolution; la révolution allemande était sans avenir ; the German revolution had no future 
prisonnier;prisoner, captive; je viens demander la libération d'une prisonnière ; I have come to ask for the release of one female prisoner
avouer;to admit; j'avoue que j'étais encore plutôt naïf ; I admit I was still somewhat naïve 
saluer;to greet, salute; tu ne dois pas saluer les gens que tu ne connais pas ; you shouldn't greet people you don't know
fer;iron; la grille de fer était ouverte ; the iron gate was open 
familial;family; la violence familiale n'est que trop fréquente ; family violence is only too frequent 
cinéma;cinema; il était allé au cinéma voir un film extraordinaire ; he went to the movies and saw an extraordinary film
calcul;calculation; une erreur de calcul figurait dans votre facture ; there was a miscalculation in your bill 
armé;armed; ils ont croisé un homme armé ; they came upon an armed man 
enseignement;education, teaching; c'est dans l'enseignement que j'ai acquis mes cheveux blancs ; teaching is what gave me gray hair
étonnant;surprising, amazing, incredible; il est étonnant de voir combien d'argent on peut obtenir ; it's striking to see how much money one can obtain
dizaine;approximately ten; il y a des dizaines de milliers de jeunes dans ce pays ; there are tens of thousands of youth in this country
dessus;above, on top; je mets mes pieds dessus ; I'm putting my feet on top of it 
achever;to complete, finish, end; pensez-vous réellement que cette guerre s'achèvera ; do you really think that this war will end?
fonctionnaire;state employee, public servant; les juges sont aussi des fonctionnaires ; judges are also public servants 
instruction;instruction, direction; je ne reçois aucune instruction de l'industrie nucléaire ; I don't receive any instruction from the nuclear industry
pratiquement;practically; ils ont continué de grimper de manière pratiquement ininterrompue ; they continued with their practically uninterrupted climbing
oser;to dare; ose me dire que tu vas rester ici! ; dare to tell me that you will stay here! 
rassembler;to gather together; je rassemblai assez de forces pour me lever ; I summoned enough energy to get up 
réalisation;realization, achievement; un lancement d'opération demande la réalisation d'une action ; launching an operation requires performing some action
fiscal;fiscal; le régime fiscal n'est pas juste ; the tax system is not fair 
démarche;walk, process; la démarche serait trop longue et trop coûteuse ; the process would be too long and too costly 
corriger;to correct; je voudrais corriger un petit détail technique ; I would like to correct a small technical detail 
volume;volume; gardez le moral haut et le volume bas ; keep your morale up and your volume down 
réussite;success; elle est aussi capable de magnifiques réussites ; she's also capable of magnificent successes 
désir;desire; faites attention à vos désirs ; watch out for your desires 
pur;pure; l'oxygène pur annihile toute douleur ; pure oxygen obliterates all pains 
exportation;export; les exportations ont légèrement baissé ; exports dropped slightly 
prier;to pray; je vais prier pour que Dieu vous bénisse ; I'll pray for God to bless you 
trente;thirty; il a été trente ans chez nous ; he lived at our place for thirty years 
âme;soul; je ne vendrai jamais mon âme au diable ; I will never sell my soul to the devil 
dominer;to dominate; la France a dominé l'Europe pendant trois siècles ; France dominated Europe for three centuries
autorisation;authorization, permission, permit; j'ai besoin d'une autorisation ; I need an authorization 
instrument;instrument; je voulais connaître mieux l'instrument et apprendre des solos ; I want to know the instrument better and learn some solos
indépendance;independence;l'île a acquis son indépendance en 1981;the island gained its independance in 1981
tort;wrong; vous aviez raison, j'avais tort ; you were right, I was wrong 
hauteur;height; ceux qui tombent de cette hauteur sont morts ; whoever falls from this height dies 
critiquer;to criticize; ils s'arrogent le droit de me critiquer, me juger ; they reserve the right to criticize me, to judge me
attaque;attack; l'attaque rebelle survient après deux jours ; the rebel attack took place after two days 
assurance;insurance, confidence; tout mon argent sert à payer l'assurance médicale ; all my money goes to pay medical insurance
déficit;deficit; le déficit du extérieur s'est fortement contracté ; the foreign trade deficit dropped sharply 
évoluer;to evolve; la situation évolue cependant dans le bon sens ; but the situation did evolve in the right direction
drogue;drug; il parle ouvertement des effets des drogues ; he talks openly about the effects of drugs 
concret;concrete; que proposez-vous comme solutions concrètes? ; what concrete solutions do you propose? 
percevoir;to perceive; il était perçu comme agressif, arrogant et généralement hostile ; he was perceived as aggressive, arrogant, and generally hostile
rythme;rhythm, rate; le génie génétique progresse à un rythme incroyable ; genetic engineering is progressing at an unbelievable pace
approuver;to approve; chacun de vos projets a été approuvé ; each of your trips has been approved 
douze;twelve; on a envoyé des petits de douze ans à la mine ; little twelve-year-olds were sent to the mine 
juridique;legal, judicial; le système juridique gêne le travail des policiers ; the legal system hinders police work 
espagnol;Spanish; vous n'êtes pas espagnole, vous ; you're not a Spaniard 
saison;season; l'automne, c'est la saison du football ; autumn is football season 
épreuve;test, ordeal, trial; nous mettons peut-être votre patience à l'épreuve ; perhaps we're putting your patience to the test
hypothèse;hypothesis; cette hypothèse était tellement invraisemblable ; this hypothesis was so unlikely 
relier;to connect; toutes les choses sont reliées. nous le savons ; everything is connected. we know that 
financement;financing; le financement de cet achat est assuré ; the financing of this purchase is assured 
dos;back; il est couché sur le dos, les bras en croix ; he's lying on his back, arms crossed 
consommateur;consumer, customer; les consommateurs en ressentent directement les avantages ; consumers feel the advantages directly
soviétique;Soviet; une sonde spatiale soviétique se pose sur Vénus ; a Soviet space probe is sitting on Venus 
volontaire;"volunteer; voluntary"; je me porte volontaire pour sortir ; I hereby volunteer to go outside 
négocier;to negotiate; l'Israël veut dicter et non pas négocier ; Israel wants to dictate, not negotiate 
finance;finance; je n'ai pas étudié la finance mais j'étais un guerrier dans l'âme ; I didn't study finance but I was a warrior at heart
rêver;to dream; j'ai rêvé de toi ; I dreamed about you 
indien;Indian; la police fédérale indienne va enquêter ; the Indian federal police is going to investigate 
quantité;quantity; ces services existent en quantités limitées ; these services are available in limited quantities 
définitif;definitive, final; je n'ai pas pris de décision définitive à ce sujet ; I haven't taken a final decision on this subject
persuader;to convince, persuade; il était persuadé que j'avais un talent ; he was convinced I had a talent 
interpréter;to interpret; ces résultats sont évidemment à interpréter avec prudence ; these results are clearly to be interpreted carefully
annuel;annual;l'inflation annuelle a augmenté à 4.1 %;annual inflation grew by 4.1%
commentaire;comment, remark; j'ai été très impressionné des commentaires que j'ai reçus ; I'm very impressed by the comments I have received
marier;to marry; il veut se marier avec moi ; he wants to marry me 
spectacle;sight, show; ça va être un spectacle d'enfer ; that will be a hellish spectacle 
pari;bet; je n'ai jamais fait le pari de quoi que ce soit ; I have never bet on anything 
célèbre;famous; elle était une musicienne célèbre dans notre pays ; she was a famous musician in our country 
ouest;west; le vent arrive toujours de l'ouest ; the wind always blows from the west 
sexe;sex; je ne sais pas, le sexe n'a peut-être rien à voir ; I don't know, perhaps sex doesn't have anything to do with it
eh;hey, uh; eh bien, j'ai changé d'avis ; well, I have changed my mind 
recours;resort, recourse; vous disiez qu'on a eu recours à des injonctions ; you were saying we can resort to injunctions
accent;accent; son accent est tellement mignon ; her accent is so cute 
introduire;to introduce; on l'avait introduit dans une chambre ; he was taken into a room 
communiste;communist; les communistes ont toujours une certaine influence ; the communists still have some influence
concert;concert; ce soir, on va à un concert ; tonight we're going to a concert 
couverture;blanket; la couverture de neige a fortement fondu ; the blanket of snow melted drastically 
religion;religion; l'Islam est une religion de paix et de tolérance ; Islam is a religion of peace and tolerance 
appui;support; sa loyauté et son appui me manqueront ; I'll miss his loyalty and his support 
théâtre;theater; ils allaient au café, au théâtre, au cinéma ; they went to the café, the theatre, the movies 
saint;saint, holy; je priais devant la statue de la Sainte Vierge ; I was praying before the statue of the Holy Virgin
conséquent;logical, rational, consistent; il semble, par conséquent, que nous soyons face à une contradiction ; consequently it seems that we are facing a contradiction
équipement;equipment; nous avons le meilleur équipement possible ; we have the best possible equipment 
descendre;to go down, come down; personne n'entre, personne ne descend du train ; nobody gets on or off the train 
patron;boss; je veux parler avec ton patron ; I want to speak with your boss 
marge;margin; il y avait une marge d'incertitude considérable ; there was a substantial margin of uncertainty 
abri;shelter; mettons-nous à l'abri ; let's take shelter 
recette;recipe; il n'y a pas de recette secrète ; there's no secret recipe 
généralement;generally; les conditions sont généralement favorables ; the conditions are generally favorable 
vigueur;vigor; le nouveau programme sera en vigueur dès juillet prochain ; the new program will take effect starting next July
baser;to base; cette loi se base sur trois principes ; this law is based on three principles 
soleil;sun;ces lunettes de soleil valent 100 millions de dollars?;these sunglasses are worth 100 million dollars?
électoral;electoral; les campagnes électorales sont affaire de pouvoir ; electoral campaigns involve power 
ennemi;enemy; s'il est l'ennemi de notre ennemi, c'est un ami ; the enemy of our enemy is our friend 
bourse;purse, scholarship; j'ai réussi à obtenir une bourse pour ma deuxième année ; I managed to obtain a scholarship for my second year
dimension;dimension; nous connaissions un univers à trois dimensions ; we experienced a three-dimensional universe
déployer;to deploy, open; des chars d'assaut israéliens ont été déployés ; Israeli assault vehicles were deployed 
dialogue;dialogue; nous avons voulu proposer un dialogue sur ces trois sujets ; we wanted to propose a dialogue on these three topics
thème;theme, topic; vous pouvez choisir un thème ; you can choose a topic 
circuler;to drive, circulate; elle peut désormais circuler librement ; she can henceforth circulate freely 
porte-parole;spokesperson, spokeswoman, spokesman; je ne me sens porte-parole de personne ; I don't feel like I'm anybody's spokesman 
présentation;presentation; j'ai écouté avec intérêt la présentation de mon collègue ; I listened with interest to the presentation of my colleague
forêt;forest; de ma fenêtre, on voyait la forêt ; from my window you could see the forest 
outil;tool; ça m'a donné les outils pour atteindre mes buts ; that gave me the wherewithal to achieve my goals
vacance;"vacancy; vacation"; moi, j'ai interrompu mes vacances ; as for me, I had to interrupt my vacation 
suffisamment;sufficiently; je ne l'ai pas dit suffisamment ; I haven't said it enough 
défi;challenge; tu es peut-être venu me lancer un défi ; maybe you came to challenge me 
front;front, forehead; le moustique vibrait autour de son front ; the mosquito buzzed around his forehead 
suspendre;to suspend, postpone; il faut suspendre la séance pour quelques instants ; the hearing will have to be suspended for a little while
calme;calm; le temps est désormais très calme ; the weather has since been very calm 
montagne;mountain; il atteignit le sommet de la grande montagne ; he reached the summit of the great mountain 
sévère;severe; ils sont contrôlés de façon sévère, de façon méticuleuse ; they are strictly, meticulously controlled
apparemment;apparently; apparemment, ces moulins tournent encore ; apparently, these mills are still turning 
présidence;presidency; vous devez comprendre que la présidence a une mission ; you must understand that the presidency has a mission
magasin;store; il travaillait dans un petit magasin en face ; he worked in a little shop across the street 
commissaire;superintendent, commissioner; excusez-moi, je vois que le commissaire vient d'arriver ; excuse me, I see the commissioner has just arrived
écrivain;writer; ma chérie, devenir écrivain est tout aussi dur ; my dear, becoming a writer is just as hard 
monétaire;monetary; le travailleur désire une élévation de salaire monétaire ; the worker wants an increase in monetary salary
ouvrage;work; il s'agit du seul ouvrage de référence sur le sujet ; it's the only reference work on the subject 
réputation;reputation; nous sommes fiers de notre réputation ; we're proud of our reputation 
cabinet;cabinet, agency, office; les députés ministériels sont les membres du Cabinet ; the deputy ministers are Cabinet ministers
écart;space, gap; elle est un peu à l'écart de la route ; it's a little bit off the road 
chien;dog; notre mère avait peur des chiens ; our mother was afraid of dogs 
surveillance;surveillance, monitoring; les caméras de surveillance l'ont bien vue ; the surveillance cameras sure saw it
indispensable;essential; le gouvernement français estime cette opération indispensable ; the French government deems this operation essential
conversation;conversation; notre conversation a duré deux heures ; our conversation lasted two hours 
surface;surface; les eaux de surface sont très chaudes ; the surface water is very hot 
féliciter;to congratulate; je voulais te féliciter pour cette victoire ; I wanted to congratulate you on this victory 
sûrement;surely; quelqu'un a sûrement besoin d'aide ; someone surely needs help 
bombe;bomb; une vingtaine de bombes sont tombées sur la capitale ; some twenty bombs fell on the capital 
efficacité;efficiency, effectiveness; les chercheurs pourront vérifier l'efficacité du traitement ; the researchers will be able to verify the effectiveness of the treatment
euro;euro;à 21 euros, ce n'est pas très cher;at 21 euros, it's not very expensive
phase;phase; toute maladie est une phase de guérison ; each sickness is a phase of healing 
confusion;confusion, mix-up; j'ai cru mourir de confusion ; I thought I would die from confusion 
précision;precision; il faut une certaine précision dans la loi ; the law must have some degree of precision 
compétence;competence; nous voulons qu'ils acquièrent les compétences nécessaires ; we want them to acquire the necessary competency
bilan;balance sheet, outcome; pouvez-vous proposer un bilan de ces épreuves? ; can you suggest an outcome for these tests?
immense;immense; nous vivons dans un territoire immense ; we live in an immense territory 
massif;massive; une faillite institutionnelle massive se produit ; a massive institutional failure took place 
chute;fall;quelques mois après la chute du mur de Berlin, en avril 1990;a few months after the fall of the Berlin wall, in April 1990
constant;constant; vous travailliez tous de façon constante ; you all work in a consistent manner 
sain;healthy, sane; si vous menez une vie saine, vos réduisez vos risques ; if you live a healthy life, you reduce your risks
intégrer;to integrate; l'art est une tentative pour intégrer le mal ; art is an attempt to integrate evil 
aérien;aerial; les renforts aériens arrivent ; air support is arriving 
contrairement;contrary; contrairement à une idée couramment répandue ; contrary to a commonly held idea 
pierre;stone; on nous lance des pierres par la fenêtre ; they were throwing stones out the window at us 
socialiste;socialist; les pays que nous appelons socialistes aujourd'hui ne le sont pas du tout ; countries that we call socialist today really aren't at all
fortement;strongly; encore une fois, j'insiste fortement ; again, I strongly insist 
régulier;regular; travaillez-vous avec des clients réguliers ; do you work with regular clients? 
boîte;box; elle va vérifier plusieurs fois sa boîte aux lettres ; she went several times to look in her mailbox
financer;to finance; il a déjà financé des films en Europe ; he has already financed films in Europe 
théorie;theory; je crois me souvenir de tes théories ; I think I remember your theories 
hôtel;hotel; il change d'hôtel chaque soir ; he changes hotels every night 
nier;to deny; vous ne pouvez pas le nier et les autres non plus ; you can't deny it, neither can the others 
phénomène;phenomenon; je suis un phénomène, non? ; I'm a phenomenon, right? 
là-bas;over there, out there; il y a deux mecs là-bas qui vous cherchent ; there are two guys over there looking for you 
étonner;to astonish, amaze; évidemment, ça a étonné tout le monde ; evidently this stunned the whole world 
totalité;totality, entirety; toute totalité, paradoxalement, est restrictive ; entirety is, paradoxically, restrictive 
sort;fate, curse; le sort de la pièce était entre mes mains ; the outcome of the play was in my hands 
accéder;to access, reach, attain; j'ai besoin d'accéder à ces données ; I need to access this data 
église;church; vous allez toujours à l'église? ; do you still go to church? 
récupérer;to get back, recover, recuperate; nous avons récupéré vos armes ; we recovered your weapons 
doter;to endow, provide; vous êtes dotée d'un superbe vocabulaire ; you're endowed with a superb vocabulary 
contribution;contribution; nous reconnaissons leur contribution dans le domaine médical ; we recognize their contribution to the medical domain
profondeur;depth; ce serait sous-estimer la profondeur de la crise ; that would be to underestimate the gravity of the crisis
émettre;to emit, issue;ce sont eux qui émettent le plus de CO2; that's what emits the most carbon dioxide 
test;test; j'ai eu un test de Q. I. cette année ; I had an IQ test this year 
vice-président;vice-president; le vice-président sortant a passé la nuit dans sa résidence ; the outgoing vice-president spent the night in his residence
pêche;"fishing; peach"; tu viens à la pêche cet après-midi? ; are you coming fishing this afternoon? 
découverte;discovery; cette découverte l'amusa toute la soirée ; this discovery kept her happy all evening 
potentiel;potential; elle a vraiment un bon potentiel! ; she really has great potential! 
agricole;agricultural, farming; les subventions agricoles sont des taxes ; farm subsidies are taxes 
intellectuel;intellectual; je crois que la vie intellectuelle changerait profondément ; I think that intellectual life would change dramatically
essence;gas, petrol; ta moto n'a plus d'essence ; your motorbike ran out of gas 
pencher;to lean, tilt; vous penchez à gauche, ça tourne à gauche ; lean to the left and it turns to the left 
artiste;artist; l'artiste refait le monde à son compte ; the artist remakes the world according to his own fashion
coin;corner; ils vivent peut-être ici, au coin de la rue ; maybe they live here, on the street corner 
tension;tension; parler pour briser la tension ; say something to break the tension 
don;gift; elle a le don de communiquer avec la musique ; she has the gift of communication through music
uniforme;uniform, steady, regular; vous ne portiez pas d'uniforme, quoique armé ; you weren't wearing a uniform, even though you were armed
fidèle;faithful; tes hommes te sont fidèles ; your men are faithful to you 
grève;strike; nous allons faire grève demain ; we're going on strike tomorow 
achat;purchase; il est devenu responsable des achats ; he became the purchasing agent 
mentionner;to mention; ces points ont déjà été mentionnés par le rapporteur ; these points were already mentioned by the reporter
exécution;execution, accomplishment; dans sa cellule, avant l'exécution, il en refuse les secours ; in his cell, before the execution, he refuses help
distinguer;to distinguish; c'est cela qui nous distingue des orientaux ; that's what distinguishes us from the Orientals 
exploiter;to exploit; les Américains veulent exploiter notre pétrole ; the Americans want to exploit our oil 
administratif;administrative; j'occupe actuellement un poste administratif ; I currently hold an administrative position 
effectif;"effective; size, workforce"; Volkswagen supprime un quart de ses effectifs aux Etats-Unis ; Volkswagen is eliminating a quarter of its workforce in the U.S.
communautaire;community, communal; une intervention au niveau communautaire ne se justifiait pas ; community intervention was not justified
individuel;individual; la religion se fait sur une base individuelle ; religion happens at an individual level 
faciliter;to make easier, facilitate; je voudrais faciliter votre décision ; I would like to facilitate your decision 
original;original; dire que la ville était belle était original ; to say that the city was beautiful was quite a stretch 
surprise;surprise; j'étais plutôt content, c'était la bonne surprise ; I was rather pleased  
veiller;to look after, stay up; ne veille pas trop tard, cela use les yeux ; don't stay up too late, it wears out your eyes 
dette;debt; je vais régler ma dette ; I'm going to take care of my debt 
capitale;capital; nous ne sommes pas la capitale de l'État mais nous grandissons ; we're not the state capital but we're growing
maintien;holding, maintaining; le maintien de la paix ne se limite plus ; maintaining peace has no limits 
chanter;to sing; il chantait la mélodie ; he sang the melody 
pension;"pension; room and board, boarding school"; elle ira directement du camp en pension ; she'll go directly from the camp to a boarding school
revue;review, magazine, journal; la revue n'a pas publié les résultats des travaux ; the journal didn't publish the results of the work
clore;to close; pour moi, le sujet est clos ; for me, the subject is moot 
neige;snow; ils ne peuvent plus pelleter la neige ; they can't shovel snow any more 
figure;"face; figure"; sa figure était maigre et pâle, un peu effrayante ; his face was lean and pale, somewhat frightening
masse;mass; l'entreprise doit atteindre une masse critique ; the company must achieve critical mass 
susceptible;sensitive, touchy; oh! ce que vous pouvez être susceptible mon ami ; gee, can you ever be touchy, my friend 
étroit;narrow, tight; ils demeurèrent quelques instants dans l'étroit couloir ; they lingered for a few moments in the narrow corridor
goût;taste; le goût n'a rien à voir avec l'appétit ; taste has nothing to do with appetite 
prestation;benefit; de nombreuses prestations ont été éliminées ; numerous benefits were eliminated 
régner;to reign; un silence de mort règne dans la salle ; a deathly silence filled the room 
